panel_id,panel_domain,panel_horizon,panel_n_control_units,panel_n_event_units,loop_n_control_alarmed,loop_n_event_alarmed,loop_control_fp,loop_event_alarm_rate,loop_q_G_pct,loop_k,method,comparator_family,status,comp_lower_n_control,comp_lower_n_event,comp_upper_n_control,comp_upper_n_event,gap_width_n_control,n_comparator_breakpoints,exact_match_n_event
markets,markets,,38,16,9,3,0.2368421052631578,0.1875,50.0,3,loopzero,loopzero,loopzero_envelope_boundary,,,,,,,
markets,markets,,38,16,9,3,0.2368421052631578,0.1875,50.0,3,comparator,ac1_ews,exact_match,9.0,3.0,9.0,3.0,0.0,25.0,3.0
markets,markets,,38,16,9,3,0.2368421052631578,0.1875,50.0,3,comparator,cusum,no_overlap_above,,,14.0,5.0,,15.0,
markets,markets,,38,16,9,3,0.2368421052631578,0.1875,50.0,3,comparator,page_hinkley,no_overlap_above,,,26.0,14.0,,6.0,
markets,markets,,38,16,9,3,0.2368421052631578,0.1875,50.0,3,comparator,variance_ews,no_overlap_above,,,17.0,5.0,,20.0,
recsys_h40,recsys,40.0,6562,33777,97,3113,0.0147820786345626,0.0921633063919235,50.0,3,loopzero,loopzero,loopzero_envelope_boundary,,,,,,,
recsys_h40,recsys,40.0,6562,33777,97,3113,0.0147820786345626,0.0921633063919235,50.0,3,comparator,ac1,no_overlap_above,,,4206.0,33777.0,,3.0,
recsys_h40,recsys,40.0,6562,33777,97,3113,0.0147820786345626,0.0921633063919235,50.0,3,comparator,cusum,no_overlap_above,,,4010.0,33777.0,,4.0,
recsys_h40,recsys,40.0,6562,33777,97,3113,0.0147820786345626,0.0921633063919235,50.0,3,comparator,matrix_profile,no_overlap_above,,,155.0,3938.0,,2.0,
recsys_h40,recsys,40.0,6562,33777,97,3113,0.0147820786345626,0.0921633063919235,50.0,3,comparator,page_hinkley,no_overlap_above,,,4206.0,33777.0,,4.0,
recsys_h40,recsys,40.0,6562,33777,97,3113,0.0147820786345626,0.0921633063919235,50.0,3,comparator,permutation_entropy,no_overlap_above,,,6562.0,33777.0,,1.0,
recsys_h40,recsys,40.0,6562,33777,97,3113,0.0147820786345626,0.0921633063919235,50.0,3,comparator,variance_ews,bounded_gap,0.0,0.0,3559.0,33777.0,3559.0,6.0,
recsys_h50,recsys,50.0,4755,35584,11,2681,0.0023133543638275,0.0753428507194244,50.0,3,loopzero,loopzero,loopzero_envelope_boundary,,,,,,,
recsys_h60,recsys,60.0,3996,36343,2,2004,0.0005005005005005,0.0551412926835979,50.0,3,loopzero,loopzero,loopzero_envelope_boundary,,,,,,,
recsys_h60,recsys,60.0,3996,36343,2,2004,0.0005005005005005,0.0551412926835979,50.0,3,comparator,ac1,no_overlap_above,,,3464.0,36343.0,,3.0,
recsys_h60,recsys,60.0,3996,36343,2,2004,0.0005005005005005,0.0551412926835979,50.0,3,comparator,cusum,no_overlap_above,,,3430.0,36343.0,,4.0,
recsys_h60,recsys,60.0,3996,36343,2,2004,0.0005005005005005,0.0551412926835979,50.0,3,comparator,matrix_profile,no_overlap_above,,,35.0,3938.0,,2.0,
recsys_h60,recsys,60.0,3996,36343,2,2004,0.0005005005005005,0.0551412926835979,50.0,3,comparator,page_hinkley,no_overlap_above,,,3464.0,36343.0,,4.0,
recsys_h60,recsys,60.0,3996,36343,2,2004,0.0005005005005005,0.0551412926835979,50.0,3,comparator,permutation_entropy,no_overlap_above,,,3996.0,36343.0,,1.0,
recsys_h60,recsys,60.0,3996,36343,2,2004,0.0005005005005005,0.0551412926835979,50.0,3,comparator,variance_ews,bounded_gap,0.0,0.0,3345.0,36343.0,3345.0,6.0,
