family,domain,horizon,target_fpr,interpolated_tpr,status,lower_fp,lower_tpr,upper_fp,upper_tpr,n_breakpoints
variance_ews,recsys,40,0.01,0.01843776341669008,interpolated,0.0,0.0,0.5423651325815301,1.0,6
variance_ews,recsys,40,0.025,0.0460944085417252,interpolated,0.0,0.0,0.5423651325815301,1.0,6
variance_ews,recsys,40,0.05,0.0921888170834504,interpolated,0.0,0.0,0.5423651325815301,1.0,6
variance_ews,recsys,40,0.075,0.1382832256251756,interpolated,0.0,0.0,0.5423651325815301,1.0,6
variance_ews,recsys,40,0.1,0.1843776341669008,interpolated,0.0,0.0,0.5423651325815301,1.0,6
variance_ews,recsys,60,0.01,0.011946188340807174,interpolated,0.0,0.0,0.8370870870870871,1.0,6
variance_ews,recsys,60,0.025,0.029865470852017937,interpolated,0.0,0.0,0.8370870870870871,1.0,6
variance_ews,recsys,60,0.05,0.059730941704035874,interpolated,0.0,0.0,0.8370870870870871,1.0,6
variance_ews,recsys,60,0.075,0.0895964125560538,interpolated,0.0,0.0,0.8370870870870871,1.0,6
variance_ews,recsys,60,0.1,0.11946188340807175,interpolated,0.0,0.0,0.8370870870870871,1.0,6
matrix_profile,recsys,40,0.01,,below_min_fp,,,0.0236208473026516,0.1165882109127512,2
matrix_profile,recsys,40,0.025,0.11834687274540404,interpolated,0.0236208473026516,0.1165882109127512,0.7163974398049375,1.0,2
matrix_profile,recsys,40,0.05,0.15022626209862955,interpolated,0.0236208473026516,0.1165882109127512,0.7163974398049375,1.0,2
matrix_profile,recsys,40,0.075,0.18210565145185503,interpolated,0.0236208473026516,0.1165882109127512,0.7163974398049375,1.0,2
matrix_profile,recsys,40,0.1,0.21398504080508057,interpolated,0.0236208473026516,0.1165882109127512,0.7163974398049375,1.0,2
matrix_profile,recsys,60,0.01,0.10960686036088271,interpolated,0.0087587587587587,0.1083564923093855,0.8938938938938938,1.0,2
matrix_profile,recsys,60,0.025,0.12471715491869313,interpolated,0.0087587587587587,0.1083564923093855,0.8938938938938938,1.0,2
matrix_profile,recsys,60,0.05,0.1499009791817105,interpolated,0.0087587587587587,0.1083564923093855,0.8938938938938938,1.0,2
matrix_profile,recsys,60,0.075,0.17508480344472785,interpolated,0.0087587587587587,0.1083564923093855,0.8938938938938938,1.0,2
matrix_profile,recsys,60,0.1,0.20026862770774523,interpolated,0.0087587587587587,0.1083564923093855,0.8938938938938938,1.0,2
