panel_id,panel_domain,panel_horizon,method,comparator_family,loopzero_boundary_fp,loopzero_boundary_q,loopzero_boundary_k,tpr_at_boundary_fp,status,lower_fp,lower_tpr,upper_fp,upper_tpr,n_breakpoints
markets,markets,,loopzero,loopzero,0.2368421052631578,50.0,3,0.1875,loopzero_envelope_boundary,,,,,
markets,markets,,comparator,ac1_ews,0.2368421052631578,50.0,3,0.1875,at_observed_fp,0.1842105263157894,0.0625,0.2368421052631578,0.1875,25.0
markets,markets,,comparator,cusum,0.2368421052631578,50.0,3,,no_overlap_comparator_above_loopzero_envelope,,,0.3684210526315789,0.3125,15.0
markets,markets,,comparator,page_hinkley,0.2368421052631578,50.0,3,,no_overlap_comparator_above_loopzero_envelope,,,0.6842105263157895,0.875,6.0
markets,markets,,comparator,variance_ews,0.2368421052631578,50.0,3,,no_overlap_comparator_above_loopzero_envelope,,,0.4473684210526316,0.3125,20.0
recsys_h40,recsys,40.0,loopzero,loopzero,0.0147820786345626,50.0,3,0.0921633063919235,loopzero_envelope_boundary,,,,,
recsys_h40,recsys,40.0,comparator,ac1,0.0147820786345626,50.0,3,,no_overlap_comparator_above_loopzero_envelope,,,0.6409631209996952,1.0,3.0
recsys_h40,recsys,40.0,comparator,cusum,0.0147820786345626,50.0,3,,no_overlap_comparator_above_loopzero_envelope,,,0.6110941786040841,1.0,4.0
recsys_h40,recsys,40.0,comparator,matrix_profile,0.0147820786345626,50.0,3,,no_overlap_comparator_above_loopzero_envelope,,,0.0236208473026516,0.1165882109127512,2.0
recsys_h40,recsys,40.0,comparator,page_hinkley,0.0147820786345626,50.0,3,,no_overlap_comparator_above_loopzero_envelope,,,0.6409631209996952,1.0,4.0
recsys_h40,recsys,40.0,comparator,permutation_entropy,0.0147820786345626,50.0,3,,insufficient_data,,,,,1.0
recsys_h40,recsys,40.0,comparator,variance_ews,0.0147820786345626,50.0,3,0.027254846867097435,interpolated,0.0,0.0,0.5423651325815301,1.0,6.0
recsys_h50,recsys,50.0,loopzero,loopzero,0.0023133543638275,50.0,3,0.0753428507194244,loopzero_envelope_boundary,,,,,
recsys_h60,recsys,60.0,loopzero,loopzero,0.0005005005005005,50.0,3,0.0551412926835979,loopzero_envelope_boundary,,,,,
recsys_h60,recsys,60.0,comparator,ac1,0.0005005005005005,50.0,3,,no_overlap_comparator_above_loopzero_envelope,,,0.8668668668668669,1.0,3.0
recsys_h60,recsys,60.0,comparator,cusum,0.0005005005005005,50.0,3,,no_overlap_comparator_above_loopzero_envelope,,,0.8583583583583584,1.0,4.0
recsys_h60,recsys,60.0,comparator,matrix_profile,0.0005005005005005,50.0,3,,no_overlap_comparator_above_loopzero_envelope,,,0.0087587587587587,0.1083564923093855,2.0
recsys_h60,recsys,60.0,comparator,page_hinkley,0.0005005005005005,50.0,3,,no_overlap_comparator_above_loopzero_envelope,,,0.8668668668668669,1.0,4.0
recsys_h60,recsys,60.0,comparator,permutation_entropy,0.0005005005005005,50.0,3,,insufficient_data,,,,,1.0
recsys_h60,recsys,60.0,comparator,variance_ews,0.0005005005005005,50.0,3,0.0005979073243647228,interpolated,0.0,0.0,0.8370870870870871,1.0,6.0
