control_id,start_ts_utc,end_ts_utc,rows_SPY,rows_QQQ,rows_IWM,rows_VXX,rows_UVXY,rows_SVXY,missing_any_symbol,missing_any_core,missing_any_vol,min_rows_all_symbols,min_rows_core,min_rows_vol
volmageddon_control_2018_01_25,2018-01-25 09:00:00+00:00,2018-01-26 01:00:00+00:00,723,651,563,0,626,512,True,False,True,0,563,0
volmageddon_control_2018_01_26,2018-01-26 09:00:00+00:00,2018-01-27 01:00:00+00:00,659,607,493,0,580,485,True,False,True,0,493,0
volmageddon_control_2018_01_24,2018-01-24 09:00:00+00:00,2018-01-25 01:00:00+00:00,743,658,531,3,620,512,False,False,False,3,531,3
volmageddon_control_2018_01_29,2018-01-29 09:00:00+00:00,2018-01-30 01:00:00+00:00,796,651,554,4,773,643,False,False,False,4,554,4
volmageddon_control_2018_01_23,2018-01-23 09:00:00+00:00,2018-01-24 01:00:00+00:00,754,654,524,6,657,567,False,False,False,6,524,6
volmageddon_control_2018_02_01,2018-02-01 09:00:00+00:00,2018-02-02 01:00:00+00:00,769,736,574,7,740,605,False,False,False,7,574,7
volmageddon_control_2018_01_31,2018-01-31 09:00:00+00:00,2018-02-01 01:00:00+00:00,777,745,573,12,741,632,False,False,False,12,573,12
volmageddon_control_2018_02_06,2018-02-06 09:00:00+00:00,2018-02-07 01:00:00+00:00,947,872,729,20,904,492,False,False,False,20,729,20
volmageddon_control_2018_01_30,2018-01-30 09:00:00+00:00,2018-01-31 01:00:00+00:00,798,705,572,24,770,630,False,False,False,24,572,24
volmageddon_control_2018_02_02,2018-02-02 09:00:00+00:00,2018-02-03 01:00:00+00:00,788,736,608,35,726,635,False,False,False,35,608,35
volmageddon_control_2018_02_07,2018-02-07 09:00:00+00:00,2018-02-08 01:00:00+00:00,874,811,600,36,897,816,False,False,False,36,600,36
volmageddon_control_2018_02_08,2018-02-08 09:00:00+00:00,2018-02-09 01:00:00+00:00,914,791,600,114,897,779,False,False,False,114,600,114
covid_noncollapse_2020_04_03,2020-04-03 08:00:00+00:00,2020-04-04 00:00:00+00:00,809,743,596,626,605,470,False,False,False,470,596,470
covid_noncollapse_2020_04_02,2020-04-02 08:00:00+00:00,2020-04-03 00:00:00+00:00,949,878,671,654,641,499,False,False,False,499,671,499
covid_noncollapse_2020_03_30,2020-03-30 08:00:00+00:00,2020-03-31 00:00:00+00:00,957,893,626,739,688,517,False,False,False,517,626,517
covid_noncollapse_2020_03_31,2020-03-31 08:00:00+00:00,2020-04-01 00:00:00+00:00,946,914,693,719,719,518,False,False,False,518,693,518
covid_noncollapse_2020_04_01,2020-04-01 08:00:00+00:00,2020-04-02 00:00:00+00:00,953,894,666,738,704,519,False,False,False,519,666,519
covid_noncollapse_2020_03_27,2020-03-27 08:00:00+00:00,2020-03-28 00:00:00+00:00,834,802,667,706,675,572,False,False,False,572,667,572
covid_noncollapse_2020_03_26,2020-03-26 08:00:00+00:00,2020-03-27 00:00:00+00:00,944,919,684,779,770,593,False,False,False,593,684,593
covid_noncollapse_2020_03_13,2020-03-13 08:00:00+00:00,2020-03-14 00:00:00+00:00,837,830,704,783,764,623,False,False,False,623,704,623
covid_noncollapse_2020_03_17,2020-03-17 08:00:00+00:00,2020-03-18 00:00:00+00:00,957,924,688,889,873,625,False,False,False,625,688,625
covid_noncollapse_2020_03_25,2020-03-25 08:00:00+00:00,2020-03-26 00:00:00+00:00,960,924,782,797,752,634,False,False,False,634,782,634
covid_noncollapse_2020_03_20,2020-03-20 08:00:00+00:00,2020-03-21 00:00:00+00:00,839,816,677,781,738,636,False,False,False,636,677,636
covid_noncollapse_2020_03_10,2020-03-10 08:00:00+00:00,2020-03-11 00:00:00+00:00,955,942,663,888,853,661,False,False,False,661,663,661
covid_noncollapse_2020_03_11,2020-03-11 08:00:00+00:00,2020-03-12 00:00:00+00:00,948,930,654,805,838,661,False,False,False,654,654,661
covid_noncollapse_2020_03_19,2020-03-19 08:00:00+00:00,2020-03-20 00:00:00+00:00,953,936,731,894,833,662,False,False,False,662,731,662
covid_noncollapse_2020_03_24,2020-03-24 08:00:00+00:00,2020-03-25 00:00:00+00:00,956,914,775,842,793,732,False,False,False,732,775,732
covid_noncollapse_2020_03_23,2020-03-23 08:00:00+00:00,2020-03-24 00:00:00+00:00,954,927,766,880,843,755,False,False,False,755,766,755
